,centries,titles,authors,scores,votes,website,average rating,times rated
0,21st,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,404621,4090,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,4.62,3251140.0
1,21st,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,303629,3099,https://www.goodreads.com/book/show/2767052-the-hunger-games,4.32,7388811.0
2,21st,The Kite Runner,Khaled Hosseini,267828,2720,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.32,2770278.0
3,21st,The Book Thief,Markus Zusak,262059,2669,https://www.goodreads.com/book/show/19063.The_Book_Thief,4.38,2179181.0
4,21st,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,226675,2334,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,4.57,2844800.0
5,21st,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,205942,2139,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,4.5,2937547.0
6,21st,The Help,Kathryn Stockett,169663,1755,https://www.goodreads.com/book/show/4667024-the-help,4.46,2449635.0
7,21st,A Thousand Splendid Suns,Khaled Hosseini,166832,1708,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,4.4,1330044.0
8,21st,Life of Pi,Yann Martel,152884,1569,https://www.goodreads.com/book/show/4214.Life_of_Pi,3.93,1482273.0
9,21st,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,150868,1583,https://www.goodreads.com/book/show/6148028-catching-fire,4.3,2976501.0
10,21st,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,146009,1518,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,4.15,2905583.0
11,21st,The Time Traveler's Wife,Audrey Niffenegger,141801,1456,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,3.99,1682957.0
12,21st,The Fault in Our Stars,John Green,132912,1385,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,4.16,4332474.0
13,21st,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,127243,1325,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,3.89,2146768.0
14,21st,The Road,Cormac McCarthy,123656,1268,https://www.goodreads.com/book/show/6288.The_Road,3.98,797312.0
15,21st,The Curious Incident of the Dog in the Night-Time,Mark Haddon,113476,1184,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,3.89,1342728.0
16,21st,Water for Elephants,Sara Gruen,112654,1173,https://www.goodreads.com/book/show/43641.Water_for_Elephants,4.1,1500646.0
